#133984
#004E96
#005E75
#004a9a
#006CB5
#742985
#0072BB
#85BC22
#169f58
#AA0052
#181D61
#2F52A0
#20907d
#006BAC
#039f3a
#00633A
#C9D300
#004F9E
#00B3E3
00384F
#005D9E
#17428B
#E01837
#004098
#006EB8
#004185
#0069B4
#D51317
#2C4283
#0A1C34
#334B9B
#F8AF00
#093687
#82294E
#ED2124
#8B1F31
#E00817
#FFCC00
#982228
#E32321
#E32321
#9c9c9c
#81492B
#8C0A28
#003F91
#1D3765
#209709
#194898
#3e0c7f
#3f5493
#7A232E
#E52329
#D92616
#01a043
#A1B93A
#0080C9
#019a86
#0058A2
#741d40
#F2933F
#F7941D
#007c9d
#0F549D
#009740
#243769
#1C1D1B
#06509C
#005687
#06509C
#00A4A7
#9E0044
#8A0A28
#0973B9
#C80C0F
#AE0F0A
#034EA2
#0095AD
#056bb6
#004993
#6F3995
#003DA6
#00B9EE
#000000
#A24641
#008dd0
#007764
#000000
#a00144
#E73088
#0a2a6e
#2A2F70
#00A77E
#3D3972
#0A96CA
#FADA33
#03562F
#6B4299
#00723F
#022555
#954429
#0d2474
#9C193E
#0066B3
 #E17100
#00463D
#8D2D43
#339838
#eb1c24
#DB052C
#006476
#0054A5
#0E3E94
#e31925
#0070c5
#013b82
#004993
#2d3e54
#004895
#ED342E
#0058A2
#003B8F
#009380
#034da2
#16476E
#002E62
#A52B43
#2b3b88
#26298f
#00948D
#005D95
#163E95
#004F9F
#0070b8
#004899
#004899
#ee9a13
#003671
#aa0f5b
#1E3466
#00B4E6
#BF1616
#004ea2
#007130
#0c4da2
#FFCA05
#0f5da7
#F9B000
#14387F
#0f64a9
#2f3490
#10367A
#D6B36A
#AE0F0A
#76B72A
#0b4da1
#EB6332
#0069B4
#003A79
#1D1D1B
#1B9969
#22317F
 #1B3280
#0071AD
#A63233
#0d6db7
#c4161c
#B0004A
#0F298F
#014da2
#18499C
#f15c30
#021098
#00737E
#004F9E
#231F20
#C8D400
#AA114F
#0BA550
#0033A0
#C3002F
#2581C4
#3e745a
#0060af
#219244
#EF3E42
#5564af
#003361
#003361
#E40521
#0C2D83
#006BAB
#005CA9
#00637D
#0097C3
#004388
#24459C
#95c94a
#557531
#297550
#0095D4
#007BD0
#006c76
#005CA8
#005CA8
#010f58
#312782
#1A70B2
#23378B
#790018
#E6378B
#003777
#BF0C3F
#0a3f7a
#005AA9
#0066B3
#4156A6
#0068B7
#F15A22
#175fb1
#007D97
#1baacc
#4071B7
#0054A6
#005871
#004A8F
#6b9c41
#0e592d
#2A376D
#001C54
#005767
#00A551
#910000
#144E8B
#0f3192
#009984
#008B44
#082D6C
#006A51
#802638
#00AFB4
#B00D28
#01499A
#DF2428
#0A2D88
#005BAC
#243f6e
#00a5e3
#004098
#009140
#004098
#1362ad
#A61D60
#7FC31C
#2C77BC
#007EBE
#E74E0F
#05A0DC
#0091BF
#004098
#1A3C7F
#bacdea
#0054A7
#009596
#9D1D2B
#006DB5
#ffb516
#003366
#EE7800
#00734D
#0d4167
#004098
#004E97
#234871
#b6002d
#EE7300
#1CC2E8
#004EA2
#0081B2
#00479D
#A89B91
#1C3C67
#f04e23
#016db5
#004EA2
#004098
#1E0D67
#992A47
#0054A7
#A7AF38
#013C34
#1D2088
#394285
#006939
#C9005F
#004098
#004F99
#95459a
#004294
#023894
#0090D5
#6f1f20
#172A88
#EB6100
#135191
#9c9f2c
#0082CB
#026c24
#0072bc
#DA005C
#008395
#A9002E
#312a7d
#1e298c
#af2f4d
#00579b
#29246D
#2e3192
#005BAC
#005BAC
#345080
#00633D
#004098
#00437C
#3B1E87
#003B71
#003B71
#004792
#174d96
#003B90
#E31B13
#182689
#F6AC19
#15579E
#171C61
#00688D
#00688D
#094d97
#AE0023
#00A2AC
#1D5632
#002965
#002965
#00683D
#A1000B
#7D0011
#009A43
#0B318F
#00806E
#0B318F
#194A8F
#008195
#005C97
#339933
#CC0033
#66CCCC
#336699
#003399
#0099FF
#FF9933
#006699
#000066
#006699
#FF0033
#336699
#0066CC
#0084cc
